target_regime,batch,heads,seqlen,head_dim,causal,precision,ncu_bottleneck_coarse,ncu_bottleneck_fine,baseline_predicted_bottleneck,baseline_predicted_coarse,best_predicted_bottleneck,best_predicted_coarse,baseline_match,best_match,ncu_compute_pct,ncu_memory_pct,ncu_duration_ns
hbm,8,32,256,128,True,bf16,memory,hbm,hbm,memory,hbm,memory,True,True,19.72,21.12,36512.0
hbm,16,32,256,128,True,bf16,memory,hbm,hbm,memory,hbm,memory,True,True,23.5,27.75,62720.0
hbm,32,16,512,64,True,bf16,compute,mma,hbm,memory,hbm,memory,False,False,32.46,16.02,110272.0
tma,16,16,2048,128,True,bf16,compute,mma,tma,memory,mma,compute,False,True,60.57,22.14,490752.0
tma,8,32,4096,128,True,bf16,compute,mma,tma,memory,mma,compute,False,True,71.93,25.91,1473184.0
tma,4,64,2048,64,True,bf16,compute,mma,tma,memory,mma,compute,False,True,53.27,11.86,421920.0
mma,4,32,8192,128,True,bf16,compute,mma,mma,compute,mma,compute,True,True,79.31,28.32,2480416.0
mma,8,48,8192,64,True,bf16,compute,mma,mma,compute,mma,compute,True,True,68.48,15.51,6477440.0
mma,2,64,16384,64,True,bf16,compute,mma,mma,compute,mma,compute,True,True,71.62,16.06,8086624.0
mufu,4,64,8192,16,True,bf16,compute,mufu,mufu,compute,mufu,compute,True,True,69.72,8.72,4197280.0
mufu,8,32,16384,16,True,bf16,compute,mufu,mufu,compute,mufu,compute,True,True,72.76,8.7,15691808.0
mufu,2,96,8192,32,True,bf16,compute,mufu,mufu,compute,mufu,compute,True,True,68.95,10.65,3233568.0
hbm,4,64,256,128,True,bf16,memory,hbm,hbm,memory,hbm,memory,True,True,19.99,21.24,36384.0
hbm,8,16,512,256,True,bf16,memory,hbm,hbm,memory,hbm,memory,True,True,8.08,64.44,323328.0
hbm,16,16,512,128,True,bf16,compute,mma,hbm,memory,hbm,memory,False,False,31.31,23.38,73632.0
hbm,32,8,1024,64,True,bf16,compute,mma,hbm,memory,hbm,memory,False,False,41.39,12.81,146400.0
hbm,64,8,256,128,True,bf16,memory,hbm,hbm,memory,hbm,memory,True,True,23.51,27.41,63392.0
tma,8,16,4096,128,True,bf16,compute,mma,tma,memory,mma,compute,False,True,70.94,25.54,793728.0
tma,4,32,2048,128,True,bf16,compute,mma,tma,memory,mma,compute,False,True,58.05,21.21,261056.0
tma,2,64,4096,64,True,bf16,compute,mma,tma,memory,mma,compute,False,True,61.67,13.5,691392.0
mma,4,64,8192,64,True,bf16,compute,mma,mma,compute,mma,compute,True,True,68.39,15.3,4379008.0
mma,2,32,16384,128,True,bf16,compute,mma,mma,compute,mma,compute,True,True,84.19,29.93,4376704.0
mma,4,48,8192,128,True,bf16,compute,mma,mma,compute,mma,compute,True,True,79.65,28.45,3576768.0
mufu,4,48,16384,16,True,bf16,compute,mufu,mufu,compute,mufu,compute,True,True,72.72,8.69,11781120.0
