target_regime,batch,heads,seqlen,head_dim,causal,precision,predicted_bottleneck,predicted_bottleneck_coarse,ncu_bottleneck_coarse,ncu_bottleneck_fine,coarse_match,fine_match,ncu_compute_pct,ncu_memory_pct,ncu_duration_ns,ncu_returncode,ncu_error,predicted_runtime_ms
hbm,8,32,256,128,True,bf16,hbm,memory,memory,hbm,True,True,20.09,20.92,36512.0,0,,0.1892457142857143
hbm,16,32,256,128,True,bf16,hbm,memory,memory,hbm,True,True,23.55,26.45,63840.0,0,,0.3764914285714286
hbm,32,16,512,64,True,bf16,hbm,memory,compute,mma,False,False,32.59,15.66,110752.0,0,,0.3764914285714286
tma,16,16,2048,128,True,bf16,tma,memory,compute,mma,False,False,60.82,22.23,494592.0,0,,1.077612564102564
tma,8,32,4096,128,True,bf16,tma,memory,compute,mma,False,False,71.97,25.92,1481760.0,0,,2.1530751282051277
tma,4,64,2048,64,True,bf16,tma,memory,compute,mma,False,False,53.4,11.89,424736.0,0,,0.539881282051282
mma,4,32,8192,128,True,bf16,mma,compute,compute,mma,True,True,79.57,28.42,2487552.0,0,,3.5734607726720884
mma,8,48,8192,64,True,bf16,mma,compute,compute,mma,True,True,68.5,15.5,6480960.0,0,,5.359191159008133
mma,2,64,16384,64,True,bf16,mma,compute,compute,mma,True,True,71.63,16.05,8092896.0,0,,7.144921545344177
mufu,4,64,8192,16,True,bf16,mufu,compute,compute,mufu,True,True,69.77,8.66,4210144.0,0,,3.5734607726720884
mufu,8,32,16384,16,True,bf16,mufu,compute,compute,mufu,True,True,72.78,8.68,15709664.0,0,,14.287843090688353
mufu,2,96,8192,32,True,bf16,mufu,compute,compute,mufu,True,True,69.04,10.66,3238912.0,0,,2.6805955795040664
